iter	Passed	Remaining
0	1	187
1	3	177
2	4	160
3	5	143
4	7	138
5	8	131
6	9	125
7	10	121
8	11	117
9	12	112
10	13	108
11	14	105
12	15	101
13	16	98
14	16	95
15	17	92
16	18	89
17	19	87
18	19	84
19	20	82
20	21	80
21	22	78
22	22	76
23	23	74
24	24	72
25	24	70
26	25	69
27	26	67
28	27	66
29	27	65
30	28	63
31	29	62
32	29	60
33	30	59
34	31	58
35	32	57
36	32	56
37	33	54
38	34	53
39	35	52
40	35	51
41	36	49
42	36	48
43	37	47
44	38	46
45	39	45
46	39	44
47	40	44
48	41	43
49	42	42
50	42	41
51	43	40
52	44	39
53	45	38
54	45	37
55	46	36
56	47	35
57	48	34
58	49	34
59	49	33
60	50	32
61	51	31
62	52	30
63	53	29
64	53	29
65	54	28
66	55	27
67	56	26
68	57	25
69	57	24
70	58	23
71	59	23
72	60	22
73	61	21
74	62	20
75	62	19
76	63	19
77	64	18
78	65	17
79	66	16
80	66	15
81	67	14
82	68	14
83	69	13
84	70	12
85	71	11
86	71	10
87	72	9
88	73	9
89	74	8
90	75	7
91	76	6
92	76	5
93	77	4
94	78	4
95	79	3
96	80	2
97	81	1
98	81	0
99	82	0
